num_reads,coverage,n_detected,f_detected,smash_count_0,smash_count_1,smash_count_2,smash_count_3,smash_count_4
0,0,0,0,0,0,0,0,0
1,0.2000,8452,0.1691,4,6,10,8,16
2,0.4000,13718,0.2745,8,9,13,13,25
3,0.6000,14853,0.2972,10,9,14,13,26
4,0.8000,22841,0.4571,20,16,19,19,39
5,1.0000,28402,0.5684,23,23,24,29,49
6,1.2000,32096,0.6423,26,24,30,35,53
7,1.4000,34791,0.6962,27,28,32,40,56
8,1.6000,34906,0.6985,27,28,32,40,56
9,1.8000,35408,0.7086,28,28,32,41,56
10,2.0000,36056,0.7216,28,29,32,41,56
11,2.2000,36056,0.7216,28,29,32,41,56
12,2.4000,36162,0.7237,28,29,32,41,56
13,2.6000,38464,0.7697,29,31,35,46,59
14,2.8000,38464,0.7697,29,31,35,46,59
15,3.0000,41996,0.8404,32,34,39,47,63
16,3.2000,42067,0.8418,32,34,39,47,63
17,3.4000,42485,0.8502,32,35,39,48,63
18,3.6000,42485,0.8502,32,35,39,48,63
19,3.8000,42586,0.8522,32,35,39,48,63
20,4.0000,44062,0.8818,34,36,40,49,66
21,4.2000,44062,0.8818,34,36,40,49,66
22,4.4000,45490,0.9103,37,38,41,51,71
